timestamp,turbidity_in,turbidity_out,status,phase
186399,1205.04,1260.13,alert,emergency
186645,1205.04,1246.44,alert,emergency
186892,1191.13,1246.44,alert,emergency
187138,1191.13,1246.44,alert,emergency
187384,1205.04,1260.13,alert,emergency
187630,1218.89,1260.13,alert,emergency
187876,1205.04,1246.44,alert,emergency
188123,1191.13,1246.44,alert,emergency
188368,1205.04,1260.13,alert,emergency
188615,1218.89,1260.13,alert,emergency
188861,1205.04,1246.44,alert,emergency
189108,1205.04,1246.44,alert,emergency
189353,1205.04,1246.44,alert,emergency
189599,1205.04,1260.13,alert,emergency
189846,1205.04,1260.13,alert,emergency
190092,1205.04,1246.44,alert,emergency
190339,1191.13,1232.69,alert,emergency
190584,1205.04,1260.13,alert,emergency
190831,1205.04,1260.13,alert,emergency
191077,1191.13,1246.44,alert,emergency
191323,1191.13,1246.44,alert,emergency
191569,1205.04,1246.44,alert,emergency
191815,1205.04,1260.13,alert,emergency
192062,1205.04,1260.13,alert,emergency
192308,1205.04,1246.44,alert,emergency
192553,1191.13,1246.44,alert,emergency
192800,1205.04,1260.13,alert,emergency
193046,1218.89,1260.13,alert,emergency
193293,1205.04,1246.44,alert,emergency
193539,1191.13,1246.44,alert,emergency
193785,1205.04,1246.44,alert,emergency
194031,1205.04,1260.13,alert,emergency
194277,1205.04,1260.13,alert,emergency
194524,1191.13,1246.44,alert,emergency
194769,1191.13,1246.44,alert,emergency
195016,1205.04,1260.13,alert,emergency
195262,1205.04,1260.13,alert,emergency
195509,1191.13,1232.69,alert,emergency
195755,1191.13,1232.69,alert,emergency
196000,1205.04,1246.44,alert,emergency
196247,1205.04,1260.13,alert,emergency
196493,1205.04,1260.13,alert,emergency
196740,1191.13,1246.44,alert,emergency
196985,1205.04,1246.44,alert,emergency
197232,1205.04,1260.13,alert,emergency
197478,1218.89,1260.13,alert,emergency
197724,1205.04,1246.44,alert,emergency
197970,1191.13,1246.44,alert,emergency
198216,1205.04,1260.13,alert,emergency
198463,1218.89,1260.13,alert,emergency
198709,1205.04,1260.13,alert,emergency
198956,1191.13,1246.44,alert,emergency
199201,1191.13,1246.44,alert,emergency
199447,1218.89,1260.13,alert,emergency
199694,1218.89,1260.13,alert,emergency
199940,1205.04,1246.44,alert,emergency
200186,1191.13,1246.44,alert,emergency
200432,1205.04,1260.13,alert,emergency
200679,1205.04,1260.13,alert,emergency
200925,1205.04,1246.44,alert,emergency
201170,1191.13,1246.44,alert,emergency
201417,1191.13,1246.44,alert,emergency
201663,1205.04,1260.13,alert,emergency
201910,1218.89,1260.13,alert,emergency
202156,1191.13,1246.44,alert,emergency
202402,1191.13,1246.44,alert,emergency
202648,1205.04,1260.13,alert,emergency
202894,1205.04,1260.13,alert,emergency
203141,1205.04,1246.44,alert,emergency
203386,1191.13,1246.44,alert,emergency
203633,1191.13,1246.44,alert,emergency
203879,1205.04,1260.13,alert,emergency
204126,1205.04,1260.13,alert,emergency
204371,1191.13,1246.44,alert,emergency
204617,1191.13,1232.69,alert,emergency
204864,1205.04,1260.13,alert,emergency
205110,1205.04,1260.13,alert,emergency
205357,1191.13,1246.44,alert,emergency
205602,1191.13,1246.44,alert,emergency
205849,1205.04,1246.44,alert,emergency
206095,1205.04,1260.13,alert,emergency
206341,1218.89,1260.13,alert,emergency
206587,1205.04,1246.44,alert,emergency
206833,1191.13,1246.44,alert,emergency
207080,1205.04,1260.13,alert,emergency
207326,1218.89,1260.13,alert,emergency
207572,1191.13,1246.44,alert,emergency
